episode: 16200/1000000, reward: 0.0, epsilon: 0.2, max reward: 10.0, mean past 100 rewards: 1.43
episode: 16300/1000000, reward: 0.0, epsilon: 0.2, max reward: 10.0, mean past 100 rewards: 1.02
episode: 16400/1000000, reward: 0.0, epsilon: 0.19, max reward: 10.0, mean past 100 rewards: 1.0
episode: 16500/1000000, reward: 0.0, epsilon: 0.19, max reward: 10.0, mean past 100 rewards: 2.15
episode: 16600/1000000, reward: 0.0, epsilon: 0.19, max reward: 10.0, mean past 100 rewards: 0.52
episode: 16700/1000000, reward: 0.0, epsilon: 0.19, max reward: 10.0, mean past 100 rewards: 1.32
episode: 16800/1000000, reward: 0.0, epsilon: 0.19, max reward: 10.0, mean past 100 rewards: 1.78
episode: 16900/1000000, reward: 0.0, epsilon: 0.18, max reward: 10.0, mean past 100 rewards: 0.88
episode: 17000/1000000, reward: 0.0, epsilon: 0.18, max reward: 10.0, mean past 100 rewards: 1.24
episode: 17100/1000000, reward: 0.0, epsilon: 0.18, max reward: 10.0, mean past 100 rewards: 0.81
episode: 17200/1000000, reward: 0.0, epsilon: 0.18, max reward: 10.0, mean past 100 rewards: 1.28
episode: 17300/1000000, reward: 1.0, epsilon: 0.18, max reward: 10.0, mean past 100 rewards: 1.88
episode: 17400/1000000, reward: 0.0, epsilon: 0.18, max reward: 10.0, mean past 100 rewards: 1.42
episode: 17500/1000000, reward: 2.0, epsilon: 0.17, max reward: 10.0, mean past 100 rewards: 1.69
episode: 17600/1000000, reward: 1.0, epsilon: 0.17, max reward: 10.0, mean past 100 rewards: 1.65
episode: 17700/1000000, reward: 0.0, epsilon: 0.17, max reward: 11.0, mean past 100 rewards: 1.57
episode: 17800/1000000, reward: 1.0, epsilon: 0.17, max reward: 11.0, mean past 100 rewards: 0.92
episode: 17900/1000000, reward: 1.0, epsilon: 0.17, max reward: 11.0, mean past 100 rewards: 2.02
episode: 18000/1000000, reward: 0.0, epsilon: 0.17, max reward: 11.0, mean past 100 rewards: 1.57
episode: 18100/1000000, reward: 0.0, epsilon: 0.16, max reward: 11.0, mean past 100 rewards: 1.32
episode: 18200/1000000, reward: 2.0, epsilon: 0.16, max reward: 11.0, mean past 100 rewards: 0.93
episode: 18300/1000000, reward: 0.0, epsilon: 0.16, max reward: 11.0, mean past 100 rewards: 1.13
episode: 18400/1000000, reward: 0.0, epsilon: 0.16, max reward: 11.0, mean past 100 rewards: 1.54
episode: 18500/1000000, reward: 2.0, epsilon: 0.16, max reward: 11.0, mean past 100 rewards: 1.19
episode: 18600/1000000, reward: 1.0, epsilon: 0.16, max reward: 11.0, mean past 100 rewards: 1.81
episode: 18700/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 1.5
episode: 18800/1000000, reward: 0.0, epsilon: 0.15, max reward: 11.0, mean past 100 rewards: 1.25
